direction,entry_px,entry_time,exit_px,exit_time,option_symbol,pnl_pct,pnl_usd,regime,score,signal_time,sl_hint,squeeze,tf_15m,tf_1h,tf_5m,ticker,trend_bonus,uvol,vix,vix_mult
PUT,0.85,2026-03-18 09:31:40,0.67,2026-03-18 09:37:06,NVDA260318P00180000,-21.2,-18.0,bear,14.4,2026-03-18 09:31:32,40.0,True,3.0,4.0,3.0,NVDA,,False,23.5,0.7
PUT,0.9,2026-03-19 10:10:44,0.7,2026-03-19 10:13:09,NVDA260320P00175000,-22.2,-20.0,bear,19.5,2026-03-19 10:10:36,25.0,True,9.0,9.0,7.0,NVDA,,False,25.8,0.5
PUT,0.8,2026-03-19 10:24:41,0.6,2026-03-19 10:51:48,NVDA260320P00175000,-25.0,-20.0,bear,17.6,2026-03-19 10:24:30,25.0,True,6.0,8.0,5.0,NVDA,,False,25.7,0.5
PUT,1.57,2026-03-19 11:05:40,2.22,2026-03-19 11:45:31,TSLA260320P00375000,41.4,65.0,bear,16.5,2026-03-19 11:05:33,25.0,True,3.0,8.0,5.0,TSLA,,False,25.6,0.5
PUT,0.34,2026-03-25 15:33:46,0.47,2026-03-25 15:37:41,AAPL260325P00252500,38.2,26.0,bear,14.4,2026-03-25 15:33:41,33.0,True,3.0,4.0,3.0,AAPL,,False,25.6,0.5
PUT,2.29,2026-03-26 11:17:30,3.45,2026-03-26 11:33:41,META260327P00550000,50.7,116.0,bear,15.5,2026-03-26 11:17:22,25.0,False,4.0,9.0,6.0,META,,True,26.7,0.5
PUT,0.9,2026-03-26 12:26:21,1.23,2026-03-26 12:32:50,QQQ260326P00578000,36.7,33.0,bear,14.6,2026-03-26 12:26:12,28.0,True,3.0,5.0,2.0,QQQ,,False,26.9,0.5
PUT,1.48,2026-03-30 10:49:53,1.01,2026-03-30 11:50:28,AAPL260330P00247500,-31.8,-47.0,bear,16.8,2026-03-30 10:49:48,25.0,True,6.0,6.0,5.0,AAPL,,False,30.0,0.5
PUT,1.29,2026-04-02 15:26:44,0.93,2026-04-02 15:28:31,TSLA260402P00360000,-27.9,-36.0,bear,14.2,2026-04-02 15:26:36,28.0,False,4.0,5.0,3.0,TSLA,,True,24.8,0.7
PUT,1.13,2026-04-06 11:20:27,1.72,2026-04-06 11:36:57,TSLA260406P00352500,52.2,59.0,bear,14.8,2026-04-06 11:20:12,25.0,False,6.0,5.0,3.0,TSLA,,True,24.1,0.7
